Original BHOT names;Edited Gene Name;Entrez Gene
ABCA1;ABCA1;19
ABCB1;ABCB1;5243
ABCC2;ABCC2;1244
ABCE1;ABCE1;6059
ABCF1;ABCF1;23
ACKR1;ACKR1;2532
ACTA2;ACTA2;59
ACVR1;ACVR1;90
ACVRL1;ACVRL1;94
ADAM8;ADAM8;101
ADAMDEC1;ADAMDEC1;27299
ADAMTS1;ADAMTS1;9510
ADGRL4;ADGRL4;64123
ADORA2A;ADORA2A;135
AGER;AGER;177
AGR2;AGR2;10551
AGR3;AGR3;155465
AGT;AGT;183
AHR;AHR;196
AICDA;AICDA;57379
AIM2;AIM2;9447
AIRE;AIRE;326
AKR1C3;AKR1C3;8644
ALAS1;ALAS1;211
ALDH3A2;ALDH3A2;224
ALOX15;ALOX15;246
ALOX5;ALOX5;240
ANKRD1;ANKRD1;27063
ANKRD22;ANKRD22;118932
ANXA1;ANXA1;301
AOAH;AOAH;313
APOE;APOE;348
APOL1;APOL1;8542
APOL2;APOL2;23780
APOLD1;APOLD1;81575
AQP1;AQP1;358
AQP2;AQP2;359
AREG;AREG;374
ARG1;ARG1;383
ARG2;ARG2;384
ARHGDIB;ARHGDIB;397
ARRB2;ARRB2;409
ASB15;ASB15;142685
ATF3;ATF3;467
ATM;ATM;472
ATXN3;ATXN3;4287
AXL;AXL;558
B2M;B2M;567
B3GAT1;B3GAT1;27087
BASP1;BASP1;10409
BATF;BATF;10538
BATF3;BATF3;55509
BAX;BAX;581
BCL2;BCL2;596
BCL2A1;BCL2A1;597
BCL2L1;BCL2L1;598
BCL2L11;BCL2L11;10018
BCL3;BCL3;602
BCL6;BCL6;604
BDNF;BDNF;627
BIRC3;BIRC3;330
BK  VP1;BK  VP1;NA
BK  large T Ag;BK  large T Ag;NA
BLK;BLK;640
BLNK;BLNK;29760
BMP2;BMP2;650
BMP4;BMP4;652
BMP6;BMP6;654
BMP7;BMP7;655
BMPER;BMPER;168667
BMPR1A;BMPR1A;657
BMPR1B;BMPR1B;658
BRWD1;BRWD1;54014
BST2;BST2;684
BTG2;BTG2;7832
BTK;BTK;695
BTLA;BTLA;151888
C1QA;C1QA;712
C1QB;C1QB;713
C1S;C1S;716
C3;C3;718
C3AR1;C3AR1;719
C5;C5;727
C5AR1;C5AR1;728
C9;C9;735
CALHM6;CALHM6;441168
CARD16;CARD16;114769
CARD8;CARD8;22900
CASP1;CASP1;834
CASP3;CASP3;836
CASP4;CASP4;837
CASP8;CASP8;841
CAV1;CAV1;857
CCL13;CCL13;6357
CCL15;CCL15;6359
CCL18;CCL18;6362
CCL19;CCL19;6363
CCL2;CCL2;6347
CCL20;CCL20;6364
CCL21;CCL21;6366
CCL22;CCL22;6367
CCL3/L1;CCL3L1;6349
CCL4;CCL4;6351
CCL5;CCL5;6352
CCR1;CCR1;1230
CCR10;CCR10;2826
CCR2;CCR2;729230
CCR3;CCR3;1232
CCR4;CCR4;1233
CCR5;CCR5;1234
CCR6;CCR6;1235
CCR7;CCR7;1236
CD14;CD14;929
CD160;CD160;11126
CD163;CD163;9332
CD19;CD19;930
CD1D;CD1D;912
CD2;CD2;914
CD207;CD207;50489
CD209;CD209;30835
CD22;CD22;933
CD24;CD24;100133941
CD244;CD244;51744
CD247;CD247;919
CD27;CD27;939
CD274;CD274;29126
CD276;CD276;80381
CD28;CD28;940
CD34;CD34;947
CD38;CD38;952
CD3D;CD3D;915
CD3E;CD3E;916
CD3G;CD3G;917
CD4;CD4;920
CD40;CD40;958
CD40LG;CD40LG;959
CD44;CD44;960
CD45R0;PTPRC;5788
CD45RA;PTPRC;5788
CD45RB;PTPRC;5788
CD46;CD46;4179
CD47;CD47;961
CD48;CD48;962
CD5;CD5;921
CD55;CD55;1604
CD58;CD58;965
CD59;CD59;966
CD6;CD6;923
CD68;CD68;968
CD69;CD69;969
CD7;CD7;924
CD70;CD70;970
CD72;CD72;971
CD74;CD74;972
CD79A;CD79A;973
CD80;CD80;941
CD81;CD81;975
CD82;CD82;3732
CD83;CD83;9308
CD84;CD84;8832
CD86;CD86;942
CD8A;CD8A;925
CD8B;CD8B;926
CD96;CD96;10225
CDH13;CDH13;1012
CDH5;CDH5;1003
CDKN1A;CDKN1A;1026
CEACAM3;CEACAM3;1084
CETP;CETP;1071
CFB;CFB;629
CFH;CFH;3075
CFI;CFI;3426
CFLAR;CFLAR;8837
CGAS;CGAS;115004
CH25H;CH25H;9023
CHCHD10;CHCHD10;400916
CHUK;CHUK;1147
CIITA;CIITA;4261
CITED4;CITED4;163732
CLEC4C;CLEC4C;170482
CMKLR1;CMKLR1;1240
CMV UL83;CMV UL83;NA
COL13A1;COL13A1;1305
COL1A1;COL1A1;1277
COL3A1;COL3A1;1281
COL4A1;COL4A1;1282
COL4A3;COL4A3;1285
COL4A4;COL4A4;1286
COL4A5;COL4A5;1287
CPA3;CPA3;1359
CR1;CR1;1378
CRHBP;CRHBP;1393
CRIP2;CRIP2;1397
CRP;CRP;1401
CSF1;CSF1;1435
CSF2;CSF2;1437
CSF2RB;CSF2RB;1439
CSF3;CSF3;1440
CSF3R;CSF3R;1441
CTLA4;CTLA4;1493
CTNNB1;CTNNB1;1499
CTSL;CTSL;1514
CTSS;CTSS;1520
CTSW;CTSW;1521
CX3CL1;CX3CL1;6376
CX3CR1;CX3CR1;1524
CXCL1/2;CXCL1;2919
;CXCL2;2920
CXCL10;CXCL10;3627
CXCL11;CXCL11;6373
CXCL12;CXCL12;6387
CXCL13;CXCL13;10563
CXCL14;CXCL14;9547
CXCL16;CXCL16;58191
CXCL2;CXCL2;2920
CXCL5;CXCL5;6374
CXCL8;CXCL8;3576
CXCL9;CXCL9;4283
CXCR3;CXCR3;2833
CXCR4;CXCR4;7852
CXCR5;CXCR5;643
CXCR6;CXCR6;10663
DCAF12;DCAF12;25853
DDX50;DDX50;79009
DEFB1;DEFB1;1672
DNMT1;DNMT1;1786
DNMT3A;DNMT3A;1788
DUSP2;DUSP2;1844
EBI3;EBI3;10148
EBV LMP2;EBV LMP2;NA
ECSCR;ECSCR;641700
EDA;EDA;1896
EEF1A1;EEF1A1;1915
EGFR;EGFR;1956
EGR1;EGR1;1958
EHD3;EHD3;30845
EMP3;EMP3;2014
ENG;ENG;2022
EOMES;EOMES;8320
EPAS1;EPAS1;2034
EPO;EPO;2056
ERG;ERG;2078
ERRFI1;ERRFI1;54206
EVA1C;EVA1C;59271
EZH2;EZH2;2146
F3;F3;2152
FABP1;FABP1;2168
FADD;FADD;8772
FAM30A;FAM30A;9834
FAS;FAS;355
FASLG;FASLG;356
FCAR;FCAR;2204
FCER1A;FCER1A;2205
FCER1G;FCER1G;2207
FCGR1A;FCGR1A;2209
FCGR2A;FCGR2A;2212
FCGR2B;FCGR2B;2213
FCGR3A/B;FCGR3A;2214
;FCGR3B;2215
FCRL2;FCRL2;79368
FGD2;FGD2;221472
FGFBP2;FGFBP2;83888
FJX1;FJX1;24147
FKBP1A;FKBP1A;2280
FLT3;FLT3;2322
FN1;FN1;2335
FOS;FOS;2353
FOSL1;FOSL1;8061
FOXO1;FOXO1;2308
FOXP3;FOXP3;50943
FPR1;FPR1;2357
FYN;FYN;2534
